sortie_id,service_id,aircraft_type,box_ids,box_count,mass_kg,volume_m3,outbound_time_s,return_time_s,round_trip_flight_time_s,preparation_time_s,delivery_time_s,turnaround_time_s,operation_time_s,energy_kwh,energy_budget_kwh,energy_margin_kwh,return_soc,safe_payload_kg,payload_margin_kg
Q1-001,S001,C,"S001-FOD-01,S001-HYG-01,S001-HYG-02,S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-08",7,76.0,0.20600000000000002,306.2701959394543,311.9001959394543,618.1703918789086,510.0,432.0,,1560.1703918789087,2.917555936276858,6.4,3.4824440637231424,0.6353055079653928,80.0,4.0
Q1-002,S001,C,"S001-FOD-02,S001-FOD-03,S001-MED-01,S001-MED-02,S001-WAT-04,S001-WAT-05,S001-WAT-06,S001-WAT-07",8,78.0,0.188,306.2701959394543,311.9001959394543,618.1703918789086,540.0,468.0,,1626.1703918789087,2.9957427645470043,6.4,3.404257235452996,0.6255321544316245,80.0,2.0
Q1-003,S002,B,"S002-FOD-01,S002-MED-01,S002-WAT-04",3,25.0,0.067,590.2869669609557,596.4069669609559,1186.6939339219116,390.0,240.0,,1816.6939339219116,2.7133927146782657,3.2,0.4866072853217345,0.3216518213304336,30.0,5.0
Q1-004,S002,C,"S002-FOD-02,S002-HYG-01,S002-WAT-01,S002-WAT-02,S002-WAT-03",5,56.0,0.14400000000000002,611.3160093193542,620.4960093193541,1231.8120186387082,450.0,360.0,,2041.8120186387082,5.721185016831143,6.4,0.6788149831688575,0.28485187289610714,68.8604736328125,12.8604736328125
Q1-005,S003,B,"S003-FOD-01,S003-MED-01,S003-WAT-03",3,25.0,0.067,718.2448824712745,732.2982158046079,1450.5430982758826,390.0,240.0,,2080.5430982758826,2.7799008904293254,3.2,0.42009910957067476,0.30502477739266864,30.0,5.0
Q1-006,S003,C,"S003-FOD-02,S003-HYG-01,S003-WAT-01,S003-WAT-02,S003-WAT-04",5,56.0,0.14400000000000002,769.5155721685402,790.5955721685401,1560.1111443370803,450.0,360.0,,2370.11114433708,5.7649867062581315,6.4,0.6350132937418689,0.27937666171773357,68.20556640625,12.20556640625
Q1-007,S004,C,"S004-FOD-01,S004-HYG-01,S004-MED-01,S004-WAT-01,S004-WAT-02,S004-WAT-03",6,59.0,0.156,707.500533296613,717.5605332966129,1425.0610665932259,480.0,396.0,,2301.061066593226,6.152897007997539,6.4,0.24710299200246144,0.23088787400030764,63.697509765625,4.697509765625
Q1-008,S005,C,"S005-FOD-01,S005-HYG-01,S005-MED-01,S005-WAT-01,S005-WAT-02,S005-WAT-03",6,59.0,0.156,497.23257909777124,503.96257909777125,1001.1951581955425,480.0,396.0,,1877.1951581955423,4.222174803509861,6.4,2.177825196490139,0.47222814956126735,80.0,21.0
Q1-009,S006,C,"S006-FOD-01,S006-HYG-01,S006-MED-01,S006-WAT-01,S006-WAT-02,S006-WAT-03",6,59.0,0.156,333.42476297017333,352.13476297017337,685.5595259403467,480.0,396.0,,1561.5595259403467,2.5979763856932365,6.4,3.802023614306764,0.6752529517883454,80.0,21.0
Q1-010,S007,C,"S007-FOD-01,S007-HYG-01,S007-MED-01,S007-WAT-01,S007-WAT-02",5,45.0,0.129,537.7477239180882,559.8277239180882,1097.5754478361764,450.0,360.0,,1907.5754478361764,3.4108701395927064,6.4,2.989129860407294,0.5736412325509117,80.0,35.0
Q1-011,S008,C,"S008-FOD-01,S008-HYG-01,S008-MED-01,S008-WAT-01,S008-WAT-02",5,45.0,0.129,687.6960422960872,702.0160422960871,1389.7120845921743,450.0,360.0,,2199.7120845921745,5.836023632389955,6.4,0.5639763676100458,0.2704970459512557,58.90380859375,13.90380859375
Q1-012,S009,B,"S009-FOD-01,S009-MED-01,S009-WAT-01",3,25.0,0.067,460.8111236972027,467.6311236972027,928.4422473944054,390.0,240.0,,1558.4422473944055,2.096210537071613,3.2,1.103789462928387,0.4759473657320967,30.0,5.0
Q1-013,S010,B,"S010-FOD-01,S010-MED-01,S010-WAT-01",3,25.0,0.067,455.2251178898362,470.1517845565029,925.376902446339,390.0,240.0,,1555.376902446339,1.8231457316476738,3.2,1.3768542683523264,0.5442135670880816,30.0,5.0
Q1-014,S011,B,"S011-FOD-01,S011-MED-01,S011-WAT-01",3,25.0,0.067,276.39849172249586,282.0251583891626,558.4236501116584,390.0,240.0,,1188.4236501116584,1.0739337252090841,3.2,2.126066274790916,0.731516568697729,30.0,5.0
Q1-015,S012,B,"S012-FOD-01,S012-MED-01,S012-WAT-01",3,25.0,0.067,641.2972779850203,651.4372779850203,1292.7345559700407,390.0,240.0,,1922.7345559700404,2.7523544419020274,3.2,0.4476455580979728,0.31191138952449315,30.0,5.0
Q1-016,S013,B,"S013-FOD-01,S013-MED-01,S013-WAT-01",3,25.0,0.067,432.76847347980555,447.7018068131389,880.4702802929444,390.0,240.0,,1510.4702802929446,1.8247182633032644,3.2,1.3752817366967358,0.5438204341741839,30.0,5.0
Q1-017,S014,B,"S014-FOD-01,S014-MED-01,S014-WAT-01",3,25.0,0.067,612.4327639761749,627.3194306428416,1239.7521946190163,390.0,240.0,,1869.7521946190166,2.1403030047614893,3.2,1.059696995238511,0.4649242488096277,30.0,5.0
Q1-018,S015,B,"S015-FOD-01,S015-MED-01,S015-WAT-01",3,25.0,0.067,587.5842920102252,610.7042920102251,1198.2885840204503,390.0,240.0,,1828.2885840204503,2.3074247845590747,3.2,0.8925752154409254,0.4231438038602313,30.0,5.0
