sortie_id,uav_id,type,start_s,takeoff_s,return_s
Q2-001,U02,A,0.0,360.0,2031.774370047618
Q2-002,U03,A,0.0,360.0,1250.9011452644888
Q2-003,U05,B,0.0,390.0,1922.7345559700404
Q2-004,U06,B,0.0,390.0,1869.7521946190166
Q2-005,U07,C,0.0,450.0,2041.8120186387082
Q2-006,U08,C,0.0,510.0,1560.1703918789087
Q2-007,U01,A,0.001,330.001,1667.4363226736384
Q2-008,U04,A,0.001,330.001,1667.4363226736384
Q2-009,U08,C,1560.171,2040.171,3121.7305259403465
Q2-010,U06,B,1869.753,2259.7529999999997,3686.4469339219113
Q2-011,U05,B,1922.735,2312.7349999999997,3433.2052802929447
Q2-012,U02,A,2031.775,2361.775,3699.2103226736385
Q2-013,U07,C,2041.813,2491.813,4411.92414433708
Q2-014,U03,A,2043.203,2403.203,4074.977370047618
Q2-015,U01,A,2708.386,3068.386,4740.160370047618
Q2-016,U08,C,3183.676,3663.676,5484.737066593226
Q2-017,U05,B,3463.884,3853.884,5544.427098275883
Q2-018,U02,A,3699.211,4029.211,5366.646322673638
Q2-019,U06,B,3782.089,4172.089,5340.531247394405
Q2-020,U07,C,4424.633,4964.633,7117.0379059998295
Q2-021,U06,B,5340.532,5730.532,7168.82058402045
Q2-022,U02,A,5366.647,5696.647,6557.548145264489
Q2-023,U08,C,5484.738,5964.738,7361.933158195543
Q2-024,U05,B,5544.428,5904.428,6693.529521843101
Q2-025,U01,A,5669.838,5999.838,7337.273322673638
