battery_id,aircraft_type,sortie_id,soc_after,charge_start_s,charge_end_s,charging_time_s
A_BAT_06,A,Q2-001,0.4906493438012812,2031.774370047618,3193.9302231059523,1162.1558530583343
A_BAT_02,A,Q2-002,0.7150389759477697,1250.9011452644888,2121.3504765323883,870.4493312678993
B_BAT_04,B,Q2-003,0.31191138952449315,1922.7345559700404,3782.088147460919,1859.3535914908787
B_BAT_03,B,Q2-004,0.4649242488096277,1869.7521946190166,3463.8834966823288,1594.131302063312
C_BAT_03,C,Q2-005,0.28485187289610714,2041.8120186387082,4424.632960697143,2382.820942058435
C_BAT_02,C,Q2-006,0.6353055079653928,1560.1703918789087,3183.6751246205577,1623.504732741649
A_BAT_03,A,Q2-007,0.5838850844250048,1667.4363226736384,2708.385712921132,1040.9493902474937
A_BAT_05,A,Q2-008,0.5838850844250048,1667.4363226736384,2708.385712921132,1040.9493902474937
C_BAT_04,C,Q2-009,0.6752529517883454,3121.7305259403465,4658.682463732264,1536.9519377919182
B_BAT_02,B,Q2-010,0.3216518213304336,3686.4469339219113,5528.917110282493,1842.470176360582
B_BAT_01,B,Q2-011,0.5438204341741839,3433.2052802929447,4890.583194391026,1457.3779140980812
A_BAT_04,A,Q2-012,0.6025111879645384,3699.2103226736385,4715.945778319739,1016.7354556461
C_BAT_01,C,Q2-013,0.27937666171773357,4411.92414433708,6806.608043948658,2394.683899611577
A_BAT_01,A,Q2-014,0.46669529125026454,4074.977370047618,5268.273491422275,1193.2961213746562
A_BAT_05,A,Q2-015,0.4759426354442685,4740.160370047618,5921.434943970069,1181.2745739224508
C_BAT_02,C,Q2-016,0.23088787400030764,5484.737066593226,7984.480006259226,2499.742939666
B_BAT_03,B,Q2-017,0.30502477739266864,5544.427098275883,7415.7174841285905,1871.2903858527077
A_BAT_02,A,Q2-018,0.5956030244406236,5366.646322673638,6392.362390900827,1025.7160682271895
B_BAT_04,B,Q2-019,0.4759473657320967,5340.531247394405,6915.555813458771,1575.0245660643657
C_BAT_03,C,Q2-020,0.20565266222670464,7117.0379059998295,9671.45713784197,2554.41923184214
B_BAT_01,B,Q2-021,0.4231438038602313,7168.82058402045,8835.371323996049,1666.550739975599
A_BAT_03,A,Q2-022,0.73820986774133,6557.548145264489,7397.87531720076,840.3271719362709
C_BAT_04,C,Q2-023,0.47222814956126735,7361.933158195543,9338.772167479463,1976.8390092839209
B_BAT_02,B,Q2-024,0.7482611197573525,6693.529521843101,7796.543580930356,1103.0140590872556
A_BAT_01,A,Q2-025,0.5986946501640227,7337.273322673638,8358.970277460408,1021.6969547867706
